codigo_ocorrencia,fator_area_FATOR HUMANO,fator_area_FATOR MATERIAL,fator_area_FATOR OPERACIONAL,fator_area_OUTRO
38423,0,0,1,0
38425,0,0,1,0
38426,0,0,1,0
38475,0,0,1,0
38578,0,0,1,0
38579,0,0,1,1
38635,0,0,1,0
38636,1,0,1,0
38638,1,0,1,0
38639,0,0,1,1
38641,1,0,1,0
38643,1,0,1,0
38644,1,0,1,0
38645,0,0,1,0
38646,1,0,1,0
38647,0,0,1,0
38655,1,0,1,1
38656,0,0,1,0
38657,0,0,1,0
38658,0,0,1,0
38660,1,1,1,0
38675,0,0,1,1
38677,0,0,1,0
38815,0,0,1,0
38819,1,0,1,0
38820,0,0,1,1
38835,0,0,1,0
38837,1,0,1,0
38838,0,0,1,0
38839,0,0,1,0
38840,0,0,1,0
38841,0,0,1,1
38842,0,0,1,0
38843,1,0,1,0
38844,0,0,1,0
38845,1,0,1,1
38846,1,0,1,0
38855,1,0,1,0
38856,1,0,1,0
38875,1,0,0,0
38896,0,0,1,1
38915,1,0,1,1
38959,0,0,1,1
38995,0,0,1,0
39015,1,0,1,0
39115,1,0,1,0
39156,0,0,1,0
39235,0,0,1,0
39275,1,0,1,0
39315,1,0,1,0
39316,0,0,1,0
39318,1,0,1,0
39319,1,0,1,0
39320,0,0,1,0
39321,0,0,1,0
39322,1,0,1,0
39385,0,0,1,0
39405,0,0,1,0
39487,0,0,1,0
39507,0,0,1,0
39527,1,0,1,0
39687,0,1,1,0
39707,0,0,1,0
39709,0,0,1,0
39887,1,0,1,0
39913,0,0,1,0
39916,0,0,1,0
39930,1,0,0,0
39933,1,0,1,0
39969,0,1,0,0
39992,0,0,1,0
39993,0,0,1,0
40067,0,0,1,0
40069,1,0,1,0
40074,1,0,1,0
40087,0,0,1,0
40088,0,0,1,0
40107,0,0,1,0
40147,0,0,1,0
40148,0,0,1,0
40149,0,0,1,0
40150,0,0,1,0
40171,0,0,1,0
40213,0,0,0,1
40214,0,0,1,1
40264,1,0,1,1
40267,1,0,1,0
40269,1,0,1,0
40271,1,0,1,0
40316,0,0,1,0
40328,1,0,1,0
40350,0,0,1,1
40357,0,0,1,0
40358,0,0,1,0
40368,0,0,1,0
40369,0,0,1,0
40554,1,0,1,0
40572,1,0,1,0
40573,0,0,1,0
40583,0,0,1,0
40621,0,0,1,0
40732,1,0,1,0
40793,1,0,1,0
40855,1,0,1,1
41053,1,0,1,1
41155,0,0,1,1
41179,0,0,1,0
41236,1,0,1,0
41374,1,0,1,1
41411,0,0,1,0
41480,0,0,1,0
41552,0,0,1,1
41578,1,0,1,0
41689,0,1,1,0
41749,1,0,1,0
41750,1,0,1,0
41751,0,0,1,0
41789,0,0,1,0
41829,0,0,1,0
41832,0,0,1,0
41834,0,0,1,0
41837,0,0,1,1
41850,0,0,1,0
41898,1,0,1,0
41900,0,1,0,1
41916,1,0,1,0
41917,0,0,1,1
41960,0,0,1,0
42001,0,0,1,0
42071,0,0,1,0
42250,1,0,1,0
42251,0,0,1,0
42287,0,0,1,0
42289,0,0,0,1
42386,1,0,1,0
42387,0,0,1,0
42388,0,0,1,0
42427,0,0,0,1
42449,0,0,0,1
42565,0,0,1,1
42718,0,0,1,0
42723,0,0,1,0
42757,0,0,0,1
42758,1,0,1,0
42760,0,0,1,0
42880,0,0,1,0
42919,0,0,1,0
42921,1,0,1,0
42983,1,0,1,0
42997,0,0,1,0
42999,1,0,1,0
43021,0,0,1,0
43027,1,0,1,0
43042,0,0,1,0
43062,0,0,1,0
43063,1,0,1,1
43070,1,0,0,0
43256,1,0,1,0
43262,0,0,1,0
43282,0,0,1,0
43294,0,0,1,0
43361,0,0,1,0
43389,1,0,1,0
43390,1,0,1,0
43393,0,0,1,0
43404,1,0,1,0
43446,0,0,1,0
43449,0,0,1,0
43450,0,0,1,0
43454,1,0,1,0
43455,0,0,1,0
43458,0,0,1,0
43459,0,0,1,0
43463,1,0,1,0
43471,1,0,1,1
43472,0,0,1,0
43628,1,0,1,0
43657,0,0,1,0
43658,1,0,1,0
43702,1,1,1,0
43703,0,0,1,0
43704,1,0,1,0
43705,1,0,1,0
43706,0,0,1,0
43719,1,0,1,0
43721,0,0,1,0
43724,0,0,1,0
43725,0,0,1,0
43726,0,0,1,0
43731,0,0,1,0
43732,0,0,1,0
43774,0,0,1,0
43776,0,0,1,0
43778,0,0,1,0
43808,1,0,1,0
43809,1,0,1,0
43870,0,0,1,0
43899,1,0,1,0
43901,0,0,1,0
43906,0,0,1,0
43908,0,0,1,0
43909,0,0,1,0
43910,0,0,1,0
43977,0,0,1,0
43978,1,0,0,0
43984,1,0,1,0
43986,0,0,1,0
43988,0,0,1,0
43989,1,0,1,0
43992,0,0,1,0
43998,0,0,1,0
44001,0,0,1,0
44003,1,0,1,0
44078,0,0,1,0
44079,0,0,1,0
44081,1,0,1,0
44118,0,0,1,1
44140,0,0,1,0
44188,1,0,1,0
44244,0,0,1,1
44248,1,0,1,0
44316,1,0,1,0
44336,0,0,1,0
44339,0,0,1,0
44377,0,0,1,0
44399,0,0,1,0
44402,0,0,1,0
44404,1,0,1,0
44436,1,0,1,0
44437,0,0,1,0
44458,0,0,1,0
44463,0,0,1,0
44464,0,0,1,0
44484,1,0,1,1
44528,1,0,1,0
44538,0,0,1,0
44539,0,0,1,0
44541,1,0,1,0
44543,1,0,1,0
44545,1,0,1,0
44549,1,0,1,0
44553,0,0,1,0
44577,1,0,1,0
44579,1,0,1,0
44597,0,0,1,0
44611,0,0,1,0
44647,0,0,0,1
44649,0,0,1,0
44652,1,0,1,0
44656,0,0,1,0
44660,1,0,1,1
44661,1,0,1,1
44700,1,0,1,0
44705,1,0,1,0
44749,1,0,1,1
44751,0,0,1,0
44753,0,0,1,1
44755,1,0,1,1
44757,0,0,1,0
44759,0,0,1,0
44775,1,0,1,0
44796,1,1,1,0
44817,0,0,1,0
44820,0,0,1,0
44837,0,0,1,0
44838,0,0,1,1
44853,1,0,1,0
44855,1,0,1,0
44879,0,0,1,0
44881,1,0,1,1
44885,0,1,1,0
44887,0,0,1,0
44888,1,0,1,0
44926,0,0,1,0
44944,1,0,1,0
44966,1,0,1,0
44967,1,0,1,0
44968,1,0,1,0
44969,0,0,1,0
44977,0,0,1,0
44986,0,1,0,0
44988,0,0,1,1
44993,0,0,1,0
44996,1,0,1,0
45025,0,0,1,0
45048,0,0,1,0
45049,0,0,1,0
45050,0,0,1,0
45051,0,0,1,0
45052,0,0,1,1
45053,1,0,1,0
45054,0,0,1,0
45055,1,0,1,1
45056,1,0,1,0
45058,0,0,1,0
45060,1,0,1,0
45061,1,0,1,0
45062,0,0,0,1
45065,1,0,1,0
45070,0,0,1,0
45071,0,0,1,0
45072,0,0,1,0
45087,1,0,1,1
45088,1,0,1,0
45089,0,0,1,0
45090,1,0,1,0
45096,0,0,1,0
45098,0,0,1,0
45100,1,0,1,0
45102,1,0,1,0
45127,1,0,0,0
45151,1,0,1,0
45153,0,0,1,0
45187,0,0,1,0
45188,1,0,1,0
45212,1,0,1,0
45213,1,0,1,0
45215,0,0,1,0
45222,1,0,1,0
45228,0,0,1,0
45237,0,0,1,0
45250,1,0,1,0
45251,1,0,1,0
45252,0,0,1,0
45268,1,0,1,0
45270,0,0,1,0
45272,0,0,1,0
45273,0,0,1,0
45274,0,0,1,0
45277,0,0,1,0
45279,1,0,1,0
45280,0,0,1,0
45282,1,0,1,0
45284,0,0,1,0
45286,0,0,1,0
45288,0,0,1,0
45292,0,0,1,0
45307,1,0,1,0
45331,1,0,1,0
45390,0,0,1,0
45392,0,0,1,0
45393,0,0,1,0
45396,0,0,1,0
45397,0,1,1,1
45399,0,0,1,0
45400,0,0,1,0
45403,0,0,1,0
45408,0,0,1,0
45412,1,0,1,0
45466,1,0,1,1
45487,1,0,1,0
45490,1,0,1,0
45523,0,0,1,0
45524,0,0,1,0
45525,1,0,1,0
45526,1,0,1,1
45528,1,0,1,0
45553,1,0,1,0
45554,0,0,1,1
45564,0,0,1,0
45570,0,0,1,0
45571,1,0,1,0
45572,1,0,1,0
45573,1,0,1,1
45576,1,0,1,0
45579,1,0,1,0
45580,1,0,1,0
45584,0,0,1,0
45585,1,0,1,1
45587,0,0,1,0
45588,0,0,1,0
45589,1,0,1,0
45596,1,0,1,0
45597,0,0,1,0
45599,0,0,1,0
45618,0,0,1,0
45651,0,0,1,0
45731,0,0,1,0
45734,0,0,1,0
45747,0,0,1,0
45748,0,0,1,0
45749,0,0,1,0
45751,0,0,1,1
45752,0,0,1,0
45753,0,0,1,0
45755,0,0,1,0
45756,1,0,1,0
45757,0,0,1,1
45759,1,1,1,0
45785,0,1,1,0
45799,0,0,1,0
45819,1,1,1,0
45820,1,0,1,0
45821,0,0,1,0
45822,0,0,1,0
45829,0,0,1,0
45833,0,0,1,0
45856,0,0,1,0
45857,1,0,1,0
45866,0,0,1,0
