codigo_ocorrencia,classificacao,tipo,localidade,uf,pais,aerodromo,dia_ocorrencia,horario,sera_investigada,comando_investigador,status_investigacao,numero_relatorio,relatorio_publicado,dia_publicacao,quantidade_recomendacoes,aeronaves_envolvidas,saida_pista,codigo_aeronave,matricula,codigo_operador,equipamento,fabricante,modelo,tipo_motor,quantidade_motores,peso_maximo_decolagem,quantidade_assentos,ano_fabricacao,pais_registro,categoria_registro,categoria_aviacao,origem_voo,destino_voo,fase_operacao,tipo_operacao,nivel_dano,quantidade_fatalidades,dia_extracao,fator_area_FATOR HUMANO,fator_area_FATOR MATERIAL,fator_area_FATOR OPERACIONAL,fator_area_OUTRO
45748,ACIDENTE,COM TREM DE POUSO,FORTALEZA,CE,BRASIL,SBFZ,2012-04-16,22:50:00,SIM,SERIPA-2,FINALIZADA,A-104/CENIPA/2013,1.0,2014-07-21,0,1,0.0,12499,PTRTH,3992,AVIÃO,EMBRAER,EMB-810D,PISTÃO,2.0,2155,6.0,1983-01-01,BRASIL,TPP,PARTICULAR,SBJP,SBFZ,POUSO,PRIVADA,SUBSTANCIAL,0.0,2016-07-30,0.0,0.0,1.0,0.0
52273,ACIDENTE,COM HÉLICE,FORTALEZA,CE,BRASIL,SNFE,2014-08-23,17:34:00,SIM,SERIPA-2,FINALIZADA,A-145/CENIPA/2014,1.0,2015-05-15,0,1,0.0,23723,PTDQG,3992,AVIÃO,CESSNA AIRCRAFT,182N,PISTÃO,1.0,1338,4.0,1970-01-01,BRASIL,TPP,PARTICULAR,SNFF,SNFF,SUBIDA,PRIVADA,SUBSTANCIAL,0.0,2016-07-30,0.0,0.0,1.0,0.0
29161,INCIDENTE GRAVE,POUSO LONGO,FORTALEZA,CE,BRASIL,SBFZ,2007-04-21,08:55:00,SIM,SERIPA-7,FINALIZADA,IG-013/CENIPA/2008,0.0,,14,1,1.0,9244,PRGLJ,2327,AVIÃO,BOEING COMPANY,737-322,JATO,2.0,61234,148.0,1988-01-01,BRASIL,TPR,REGULAR,N/A,N/A,INDETERMINADA,REGULAR,NENHUM,0.0,2016-07-30,0.0,0.0,1.0,0.0
36795,INCIDENTE GRAVE,PERDA DE CONTROLE NO SOLO,FORTALEZA,CE,BRASIL,SBFZ,2009-03-29,16:40:00,SIM,SERIPA-2,ATIVA,A DEFINIR,0.0,,0,1,0.0,9761,PPGEO,187,AVIÃO,AERO BOERO,AB-115,PISTÃO,1.0,770,2.0,1991-01-01,BRASIL,SAE,ESPECIALIZADA,N/A,N/A,POUSO,ESPECIALIZADA,NENHUM,0.0,2016-07-30,0.0,0.0,1.0,0.0
50099,INCIDENTE GRAVE,POUSO SEM TREM,FORTALEZA,CE,BRASIL,SBFZ,2013-11-04,14:06:00,SIM,SERIPA-2,ATIVA,IG-198/CENIPA/2013,0.0,,0,1,0.0,9306,PTDRM,5033,AVIÃO,BEECH AIRCRAFT,58,PISTÃO,2.0,2449,6.0,1971-01-01,BRASIL,TPX,TÁXI AÉREO,SBRF,SBMO,POUSO,TÁXI AÉREO,LEVE,0.0,2016-07-30,0.0,0.0,0.0,0.0
37876,INCIDENTE GRAVE,PERDA DE CONTROLE NO SOLO,CANELA,RS,BRASIL,N/A,2009-06-14,20:20:00,SIM,SERIPA-5,FINALIZADA,IG-028/CENIPA/2010,1.0,2010-04-28,8,1,0.0,2511,PPGQA,169,AVIÃO,AERO BOERO,AB-115,PISTÃO,1.0,770,2.0,1993-01-01,BRASIL,PRI,INSTRUÇÃO,SSCN,SSCN,CORRIDA APÓS POUSO,INSTRUÇÃO,LEVE,0.0,2016-07-30,0.0,0.0,1.0,0.0
45329,ACIDENTE,FALHA DO MOTOR EM VOO,CAIAPÔNIA,GO,BRASIL,N/A,2011-01-06,12:00:00,SIM,SERIPA-6,ATIVA,A DEFINIR,0.0,,0,1,0.0,12756,PTUMX,2110,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,PISTÃO,1.0,1800,1.0,2001-01-01,BRASIL,SAE,ESPECIALIZADA,N/A,N/A,OUTRA FASE,ESPECIALIZADA,SUBSTANCIAL,0.0,2016-07-30,0.0,0.0,0.0,0.0
53179,ACIDENTE,FALHA DO MOTOR EM VOO,CAIAPÔNIA,GO,BRASIL,N/A,2015-03-28,10:30:00,SIM,SERIPA-6,FINALIZADA,A-047/CENIPA/2015,1.0,2016-06-03,0,1,0.0,28887,PTVYR,2110,AVIÃO,EMBRAER,EMB-202A,PISTÃO,1.0,1800,1.0,2012-01-01,BRASIL,SAE-AG,AGRÍCOLA,N/A,N/A,ESPECIALIZADA,AGRÍCOLA,SUBSTANCIAL,0.0,2016-07-30,0.0,0.0,0.0,0.0
29275,INCIDENTE GRAVE,FALHA DO MOTOR EM VOO,RIO CLARO,RJ,BRASIL,N/A,2006-12-22,18:35:00,SIM,SERIPA-3,ATIVA,A DEFINIR,0.0,,0,1,0.0,9251,PTHZC,3992,HELICÓPTERO,HELIBRAS,AS 350 BA,TURBOEIXO,1.0,2100,6.0,1995-01-01,BRASIL,TPP,PARTICULAR,N/A,N/A,CRUZEIRO,PRIVADA,LEVE,0.0,2016-07-30,0.0,0.0,0.0,0.0
44887,INCIDENTE GRAVE,VAZAMENTO DE OUTROS FLUÍDOS,MARITUBA,PA,BRASIL,N/A,2011-07-19,16:30:00,SIM,SERIPA-1,ATIVA,A DEFINIR,0.0,,0,1,0.0,7180,PTNEX,3992,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711C,PISTÃO,1.0,1202,4.0,1976-01-01,BRASIL,TPP,PARTICULAR,N/A,N/A,DESCIDA,PRIVADA,LEVE,0.0,2016-07-30,0.0,0.0,1.0,0.0
